"Date","sulfate","nitrate","ID"
"2008-01-25",1.55,2.44,111
"2008-01-26",NA,NA,111
"2008-01-27",NA,NA,111
"2008-01-28",NA,NA,111
"2008-01-29",NA,NA,111
"2008-01-30",NA,NA,111
"2008-01-31",1.4,0.44,111
"2008-02-01",NA,NA,111
"2008-02-02",NA,NA,111
"2008-02-03",NA,NA,111
"2008-02-04",NA,NA,111
"2008-02-05",NA,NA,111
"2008-02-06",NA,NA,111
"2008-02-07",NA,NA,111
"2008-02-08",NA,NA,111
"2008-02-09",NA,NA,111
"2008-02-10",NA,NA,111
"2008-02-11",NA,NA,111
"2008-02-12",NA,NA,111
"2008-02-13",NA,NA,111
"2008-02-14",NA,NA,111
"2008-02-15",NA,NA,111
"2008-02-16",NA,NA,111
"2008-02-17",NA,NA,111
"2008-02-18",2.63,0.385,111
"2008-02-19",NA,NA,111
"2008-02-20",NA,NA,111
"2008-02-21",NA,NA,111
"2008-02-22",NA,NA,111
"2008-02-23",NA,NA,111
"2008-02-24",NA,NA,111
"2008-02-25",NA,NA,111
"2008-02-26",NA,NA,111
"2008-02-27",NA,NA,111
"2008-02-28",NA,NA,111
"2008-02-29",NA,NA,111
"2008-03-01",1.04,1.13,111
"2008-03-02",NA,NA,111
"2008-03-03",NA,NA,111
"2008-03-04",NA,NA,111
"2008-03-05",NA,NA,111
"2008-03-06",NA,NA,111
"2008-03-07",3.3,0.345,111
"2008-03-08",NA,NA,111
"2008-03-09",NA,NA,111
"2008-03-10",NA,NA,111
"2008-03-11",NA,NA,111
"2008-03-12",NA,NA,111
"2008-03-13",NA,NA,111
"2008-03-14",NA,NA,111
"2008-03-15",NA,NA,111
"2008-03-16",NA,NA,111
"2008-03-17",NA,NA,111
"2008-03-18",NA,NA,111
"2008-03-19",2.7,0.26,111
"2008-03-20",NA,NA,111
"2008-03-21",NA,NA,111
"2008-03-22",NA,NA,111
"2008-03-23",NA,NA,111
"2008-03-24",NA,NA,111
"2008-03-25",3.78,1.53,111
"2008-03-26",NA,NA,111
"2008-03-27",NA,NA,111
"2008-03-28",NA,NA,111
"2008-03-29",NA,NA,111
"2008-03-30",NA,NA,111
"2008-03-31",2.51,0.459,111
"2008-04-01",NA,NA,111
"2008-04-02",NA,NA,111
"2008-04-03",NA,NA,111
"2008-04-04",NA,NA,111
"2008-04-05",NA,NA,111
"2008-04-06",5.19,0.365,111
"2008-04-07",NA,NA,111
"2008-04-08",NA,NA,111
"2008-04-09",NA,NA,111
"2008-04-10",NA,NA,111
"2008-04-11",NA,NA,111
"2008-04-12",1.28,0.168,111
"2008-04-13",NA,NA,111
"2008-04-14",NA,NA,111
"2008-04-15",NA,NA,111
"2008-04-16",NA,NA,111
"2008-04-17",NA,NA,111
"2008-04-18",6.03,0.486,111
"2008-04-19",NA,NA,111
"2008-04-20",NA,NA,111
"2008-04-21",NA,NA,111
"2008-04-22",NA,NA,111
"2008-04-23",NA,NA,111
"2008-04-24",2.16,0.648,111
"2008-04-25",NA,NA,111
"2008-04-26",NA,NA,111
"2008-04-27",NA,NA,111
"2008-04-28",NA,NA,111
"2008-04-29",NA,NA,111
"2008-04-30",3.82,0.77,111
"2008-05-01",NA,NA,111
"2008-05-02",NA,NA,111
"2008-05-03",NA,NA,111
"2008-05-04",NA,NA,111
"2008-05-05",NA,NA,111
"2008-05-06",4.54,0.459,111
"2008-05-07",NA,NA,111
"2008-05-08",NA,NA,111
"2008-05-09",NA,NA,111
"2008-05-10",NA,NA,111
"2008-05-11",NA,NA,111
"2008-05-12",4.22,0.379,111
"2008-05-13",NA,NA,111
"2008-05-14",NA,NA,111
"2008-05-15",NA,NA,111
"2008-05-16",NA,NA,111
"2008-05-17",NA,NA,111
"2008-05-18",3.06,0.356,111
"2008-05-19",NA,NA,111
"2008-05-20",NA,NA,111
"2008-05-21",NA,NA,111
"2008-05-22",NA,NA,111
"2008-05-23",NA,NA,111
"2008-05-24",3.57,0.319,111
"2008-05-25",NA,NA,111
"2008-05-26",NA,NA,111
"2008-05-27",NA,NA,111
"2008-05-28",NA,NA,111
"2008-05-29",NA,NA,111
"2008-05-30",9.68,0.228,111
"2008-05-31",NA,NA,111
"2008-06-01",NA,NA,111
"2008-06-02",NA,NA,111
"2008-06-03",NA,NA,111
"2008-06-04",NA,NA,111
"2008-06-05",NA,NA,111
"2008-06-06",NA,NA,111
"2008-06-07",NA,NA,111
"2008-06-08",NA,NA,111
"2008-06-09",NA,NA,111
"2008-06-10",NA,NA,111
"2008-06-11",NA,NA,111
"2008-06-12",NA,NA,111
"2008-06-13",NA,NA,111
"2008-06-14",NA,NA,111
"2008-06-15",NA,NA,111
"2008-06-16",NA,NA,111
"2008-06-17",NA,NA,111
"2008-06-18",NA,NA,111
"2008-06-19",NA,NA,111
"2008-06-20",NA,NA,111
"2008-06-21",NA,NA,111
"2008-06-22",NA,NA,111
"2008-06-23",NA,NA,111
"2008-06-24",NA,NA,111
"2008-06-25",NA,NA,111
"2008-06-26",NA,NA,111
"2008-06-27",NA,NA,111
"2008-06-28",NA,NA,111
"2008-06-29",NA,NA,111
"2008-06-30",NA,NA,111
"2008-07-01",NA,NA,111
"2008-07-02",NA,NA,111
"2008-07-03",NA,NA,111
"2008-07-04",NA,NA,111
"2008-07-05",NA,NA,111
"2008-07-06",NA,NA,111
"2008-07-07",NA,NA,111
"2008-07-08",NA,NA,111
"2008-07-09",NA,NA,111
"2008-07-10",NA,NA,111
"2008-07-11",NA,NA,111
"2008-07-12",NA,NA,111
"2008-07-13",NA,NA,111
"2008-07-14",NA,NA,111
"2008-07-15",NA,NA,111
"2008-07-16",NA,NA,111
"2008-07-17",NA,NA,111
"2008-07-18",NA,NA,111
"2008-07-19",NA,NA,111
"2008-07-20",NA,NA,111
"2008-07-21",NA,NA,111
"2008-07-22",NA,NA,111
"2008-07-23",NA,NA,111
"2008-07-24",NA,NA,111
"2008-07-25",NA,NA,111
"2008-07-26",NA,NA,111
"2008-07-27",NA,NA,111
"2008-07-28",NA,NA,111
"2008-07-29",NA,NA,111
"2008-07-30",NA,NA,111
"2008-07-31",NA,NA,111
"2008-08-01",NA,NA,111
"2008-08-02",NA,NA,111
"2008-08-03",NA,NA,111
"2008-08-04",NA,NA,111
"2008-08-05",NA,NA,111
"2008-08-06",NA,NA,111
"2008-08-07",NA,NA,111
"2008-08-08",NA,NA,111
"2008-08-09",NA,NA,111
"2008-08-10",NA,NA,111
"2008-08-11",NA,NA,111
"2008-08-12",NA,NA,111
"2008-08-13",NA,NA,111
"2008-08-14",NA,NA,111
"2008-08-15",NA,NA,111
"2008-08-16",NA,NA,111
"2008-08-17",NA,NA,111
"2008-08-18",NA,NA,111
"2008-08-19",NA,NA,111
"2008-08-20",NA,NA,111
"2008-08-21",NA,NA,111
"2008-08-22",NA,NA,111
"2008-08-23",NA,NA,111
"2008-08-24",NA,NA,111
"2008-08-25",NA,NA,111
"2008-08-26",NA,NA,111
"2008-08-27",NA,NA,111
"2008-08-28",NA,NA,111
"2008-08-29",NA,NA,111
"2008-08-30",NA,NA,111
"2008-08-31",NA,NA,111
"2008-09-01",NA,NA,111
"2008-09-02",NA,NA,111
"2008-09-03",NA,NA,111
"2008-09-04",NA,NA,111
"2008-09-05",NA,NA,111
"2008-09-06",NA,NA,111
"2008-09-07",NA,NA,111
"2008-09-08",NA,NA,111
"2008-09-09",NA,NA,111
"2008-09-10",NA,NA,111
"2008-09-11",NA,NA,111
"2008-09-12",NA,NA,111
"2008-09-13",NA,NA,111
"2008-09-14",NA,NA,111
"2008-09-15",NA,NA,111
"2008-09-16",NA,NA,111
"2008-09-17",NA,NA,111
"2008-09-18",NA,NA,111
"2008-09-19",NA,NA,111
"2008-09-20",NA,NA,111
"2008-09-21",NA,NA,111
"2008-09-22",NA,NA,111
"2008-09-23",NA,NA,111
"2008-09-24",NA,NA,111
"2008-09-25",NA,NA,111
"2008-09-26",NA,NA,111
"2008-09-27",NA,NA,111
"2008-09-28",NA,NA,111
"2008-09-29",NA,NA,111
"2008-09-30",NA,NA,111
"2008-10-01",NA,NA,111
"2008-10-02",NA,NA,111
"2008-10-03",NA,NA,111
"2008-10-04",NA,NA,111
"2008-10-05",NA,NA,111
"2008-10-06",NA,NA,111
"2008-10-07",NA,NA,111
"2008-10-08",NA,NA,111
"2008-10-09",NA,NA,111
"2008-10-10",NA,NA,111
"2008-10-11",NA,NA,111
"2008-10-12",NA,NA,111
"2008-10-13",NA,NA,111
"2008-10-14",NA,NA,111
"2008-10-15",NA,NA,111
"2008-10-16",NA,NA,111
"2008-10-17",NA,NA,111
"2008-10-18",NA,NA,111
"2008-10-19",NA,NA,111
"2008-10-20",NA,NA,111
"2008-10-21",NA,NA,111
"2008-10-22",NA,NA,111
"2008-10-23",NA,NA,111
"2008-10-24",NA,NA,111
"2008-10-25",NA,NA,111
"2008-10-26",NA,NA,111
"2008-10-27",NA,NA,111
"2008-10-28",NA,NA,111
"2008-10-29",NA,NA,111
"2008-10-30",NA,NA,111
"2008-10-31",NA,NA,111
"2008-11-01",NA,NA,111
"2008-11-02",NA,NA,111
"2008-11-03",NA,NA,111
"2008-11-04",NA,NA,111
"2008-11-05",NA,NA,111
"2008-11-06",NA,NA,111
"2008-11-07",NA,NA,111
"2008-11-08",NA,NA,111
"2008-11-09",NA,NA,111
"2008-11-10",NA,NA,111
"2008-11-11",NA,NA,111
"2008-11-12",NA,NA,111
"2008-11-13",NA,NA,111
"2008-11-14",NA,NA,111
"2008-11-15",NA,NA,111
"2008-11-16",NA,NA,111
"2008-11-17",NA,NA,111
"2008-11-18",NA,NA,111
"2008-11-19",NA,NA,111
"2008-11-20",NA,NA,111
"2008-11-21",NA,NA,111
"2008-11-22",NA,NA,111
"2008-11-23",NA,NA,111
"2008-11-24",NA,NA,111
"2008-11-25",NA,NA,111
"2008-11-26",NA,NA,111
"2008-11-27",NA,NA,111
"2008-11-28",NA,NA,111
"2008-11-29",NA,NA,111
"2008-11-30",NA,NA,111
"2008-12-01",NA,NA,111
"2008-12-02",NA,NA,111
"2008-12-03",NA,NA,111
"2008-12-04",NA,NA,111
"2008-12-05",NA,NA,111
"2008-12-06",NA,NA,111
"2008-12-07",NA,NA,111
"2008-12-08",NA,NA,111
"2008-12-09",NA,NA,111
"2008-12-10",NA,NA,111
"2008-12-11",NA,NA,111
"2008-12-12",NA,NA,111
"2008-12-13",NA,NA,111
"2008-12-14",NA,NA,111
"2008-12-15",NA,NA,111
"2008-12-16",NA,NA,111
"2008-12-17",NA,NA,111
"2008-12-18",NA,NA,111
"2008-12-19",NA,NA,111
"2008-12-20",NA,NA,111
"2008-12-21",NA,NA,111
"2008-12-22",NA,NA,111
"2008-12-23",NA,NA,111
"2008-12-24",NA,NA,111
"2008-12-25",NA,NA,111
"2008-12-26",NA,NA,111
"2008-12-27",NA,NA,111
"2008-12-28",NA,NA,111
"2008-12-29",NA,NA,111
"2008-12-30",NA,NA,111
"2008-12-31",NA,NA,111
